title,pageRank
Moby-Dick,0.01918173983332523
Harold Bloom,0.01239355109675202
Blood Meridian,0.01159020359429544
Paradise Lost,0.006861707678243808
Gunpowder,0.006684065354627298
Cotton,0.006517827581401842
Cormac McCarthy,0.005765692710679764
Iliad,0.00527645470152542
Botanical name,0.005028746265804322
John Joel Glanton,0.004822595383009304
Pequod (Moby-Dick),0.004434739770063658
William Wordsworth,0.004421523442755094
Queequeg,0.004158114590798927
Texas,0.004128163590610938
Anxiety,0.004117755451155289
Hungerford,0.003988461080278445
Bible,0.003858030386901137
New Orleans,0.003823615041015195
Judge Holden,0.003804855687347038
Mineralogy,0.003349777144022513
Novel,0.003146891580982467
Fallen angel,0.002892059846187981
Anxiety of influence,0.002843371982370088
Mennonites,0.002824292800416584
Odyssey,0.002808481338294711
Boston,0.00277607120658489
Tennessee,0.0027065516753625
Geology,0.002678079893559657
Ahab,0.002632806521064711
Romanticism,0.002631339404822989
Grand Canyon,0.002601205449534148
United States Army,0.002530489525449569
Agony in the Garden,0.002504066428339634
Garden of Eden,0.002487071861284267
Mexico,0.002352538742687044
Mexican–American War,0.002317159116783488
Malpaís (landform),0.002286142779916348
English language,0.002270082509030341
Second corporal,0.002239575455198746
Burning bush,0.00218738657707719
Adjective,0.002168699863597409
Hewer,0.002058763951161462
Samuel Chamberlain,0.002045303358545689
Oral tradition,0.002037666468937008
Sonora,0.001994902810696985
Cain and Abel,0.001967544159787464
Gambling,0.001963678324303451
Literature,0.00195012083348449
Noah,0.001900724735467149
Aesthetics,0.00188532556059711
Professor,0.001862055002262016
Vineyard,0.001850366233369091
Angel,0.001843648777202549
New Hampshire,0.001834959944360362
Wood,0.001823397677767096
Volcano,0.001768349570031132
Evolution,0.001738052401116915
Moby,0.001708092748553931
New England,0.001700283674470683
Literary criticism,0.001692234561567996
Parricide,0.001687201632214149
Narrative,0.001680147969161811
Morality,0.001677936509837175
The Thunderer,0.001627726147620053
Judge,0.001627432848319359
Fandango,0.001616417759804521
French language,0.00160491027082141
Epic poetry,0.001601501630317301
Manuscript,0.00159560681926164
Prophet,0.001594355294816538
Filibuster,0.001587891187022152
Paper,0.001571058565178175
Satan,0.001567565138276071
Water,0.001566884113183161
Charcoal,0.001542389635533721
Chaparral,0.001532701529380026
Ishmael,0.001531134192458663
Human,0.001528328387923155
United States,0.001525890128371545
Curse,0.001518183987574475
Volcanic cone,0.001516349286575615
Southern United States,0.001515461170452206
Lawsuit,0.001508574713992443
Hell,0.001505195675703273
Soul,0.001484272159000111
Sand,0.001482549417260296
Time,0.001479727352135064
Mystery fiction,0.001474988452045889
Lava,0.001463741816618095
England,0.001454832809315519
Epigram,0.001449642363615987
Watercolor painting,0.001448818441223037
Cherokee,0.00143739669205738
Elijah,0.001436121202818277
Archaeology,0.001433328502055423
World War I,0.001430898820530365
Corporal,0.001420488005395149
Art,0.001411809803025999
Rainbow,0.001411271274312836
Death,0.00140827021830051
History of literature,0.001389026022368015
Missouri,0.00138853853675663
Western world,0.001352503934147137
Clay,0.001349329144200693
Artifact (archaeology),0.001347044895835599
God,0.001345855175764807
Writing,0.001344966079092859
Picaresque novel,0.001343325231371208
Folklore,0.001340951244328908
Christianity,0.001340858717194269
