title,pageRank
Great chain of being,0.01502894000557136
Dante Alighieri,0.008005423307557704
Rhapsode,0.007747291868928619
Plato,0.006159003441375878
Relative density,0.005972509071918318
Marsyas,0.005705410914710307
Beatific vision,0.005206239065639005
Ravenna,0.004762346483078029
Tercet,0.004612425068151402
Sport Club Corinthians Paulista,0.004593381232409699
Arthur Oncken Lovejoy,0.004158859857648164
Liberal arts education,0.004093784244748215
Metaphysics,0.004085845177494233
Aristotelianism,0.004007292079760417
Dialectic,0.003852966984501056
William Shakespeare,0.003783962059078525
Plotinus,0.003742488487030696
Aristotle,0.003703450947713367
Colchis,0.003687849291147852
Third Heaven,0.003634665519271804
Paul the Apostle,0.003587475573071017
Richard of Saint Victor,0.003549556425951867
Boethius,0.003371611637459753
Capitalism,0.003291455818848654
Bernard of Clairvaux,0.003282775033594351
Apollo,0.003269278700819216
Bible,0.003253523011548022
Paradiso (Amsterdam),0.003243297157554464
Canticle,0.003226883903135204
Speed of light,0.003163079297006342
Old English,0.003139745810756734
Neoplatonism,0.003115386923738351
Bread,0.003089958378666217
Ptolemy,0.003020062221872041
English language,0.002988750744124982
Giuseppe Mazzotta,0.002986607417717995
Allegory,0.002984978120474104
Metaphor,0.002968398731050162
Garden of Eden,0.002919759731692183
Middle Ages,0.002863498899133813
Mysticism,0.002829201658257533
Rhetoric,0.002823201291299051
Romanticism,0.002793044271382777
Cosmos,0.002750074731589492
Theseus,0.002695315084286159
Inferno (Dante),0.00267232090559811
Ethics,0.002620178307670523
Purgatorio,0.002615562030735453
Statius,0.002518836844593537
Italy,0.002511894109960633
Canto,0.002491081787916946
Renaissance,0.00248761591508473
Mars,0.002438711025515612
Gravity,0.002415062271610211
Intellectual history,0.002353480122439385
Padua,0.00230407806961222
Grammar,0.002298636248135666
Homer,0.002292286518553004
Jupiter,0.002252641015511145
Prayer,0.002235872606263036
Astronomy,0.00222164641063016
Sublime (philosophy),0.002192000874029998
Ulysses (novel),0.002166605968797779
Virgil,0.002158094789303313
Aeneas,0.002132375913040381
Cosmology,0.002115065050978562
Blasphemy,0.002112317883108106
Delirium,0.002103184925043839
Ancient Greece,0.00209047445852547
Moon,0.002071206643645086
Lovejoy,0.002070860663424938
Greek language,0.002068067318171972
Greek tragedy,0.002067123834260692
Italian language,0.002062482416787169
Hubris,0.002027794151019738
Ovid,0.002003110861113518
Verona,0.001988594269721893
Neptune,0.001975499967719419
Pisa,0.001938685122254925
Determinism,0.001929976444836888
Theology,0.001928175499582484
Calendar of saints,0.001928083417434421
Physics,0.001914328081500773
Golden Fleece,0.001907097711369858
Philosophy,0.001897760784065031
Classical antiquity,0.00189408860241528
Heaven,0.001882577400719892
Saturn,0.001877078539142834
Latin,0.001869170983058062
Pine,0.001868581117005144
Poetry,0.001866913130916704
God,0.001855211756064834
Muses,0.001853026786886181
Full moon,0.001844602218453018
Philosopher,0.001822076869912514
Odyssey,0.001815417800641932
Specific weight,0.001811775505798672
United States,0.001809513503462335
Divine Comedy,0.001809348813272265
Prophet,0.001800732442072722
Universe,0.001788551228991038
Supernatural,0.001767186211211728
English literature,0.00176147378577826
Symbol,0.001756908864977318
Geometry,0.001752210997530415
Heresy,0.001751421998829536
Religion,0.001742151755294543
Etymology,0.001737747422072973
Nebuchadnezzar II,0.001728139592893931
Christianity,0.00172204083993327
Thomas Aquinas,0.001690515435522742
Augustine of Hippo,0.001676934708396033
Jesus,0.00167687852769511
Subjectivity,0.001663317409790387
Glaucus,0.00165379347840501
Liberalism,0.001653210647444814
Angel,0.001647003676533904
Science,0.001638677448477384
Semantics,0.001626072180994682
Mount Parnassus,0.001620155571451002
Paradox,0.001598851506239489
Simulacrum,0.001597671050229171
Lucifer,0.001593226587765557
Empyrean,0.001576693712479348
Venus,0.001567478011183576
Nature,0.001565026681952172
Music,0.001554207805886242
Spirituality,0.001543645008572787
Convivio,0.001528944088332447
Trope (literature),0.001527416983372666
Scientific method,0.001525531322340678
Reason,0.0015159057706776
Planet,0.001515195897320332
Hudson River Chains,0.001514421401238529
Syntax,0.001511084390090475
Bark (botany),0.001500305080567369
Infinity,0.001494893760675865
Literature,0.00149393244981157
Julius Caesar,0.001485531029820961
Medea,0.001478400833572471
Death,0.001472919468448777
Ineffability,0.001471595869796354
Scholasticism,0.001458593354196801
French language,0.001450484638392119
Water,0.001441208978786162
Neck stiffness,0.001438796246647122
Ezekiel,0.001438360510958971
Society of Jesus,0.001434409532845435
Time,0.001433588627292489
Free will,0.00142782224326799
Delirious (wrestler),0.001427737559183366
Aesthetics,0.001423660731292656
Western esotericism,0.001420980751174889
Laurel wreath,0.001419598971797956
Knowledge,0.001417493477897792
Human,0.00141708689554322
Mind,0.001414277856742444
Circumlocution,0.001408984588191852
Morality,0.001403664230680783
Dog,0.001399911128866691
Arena,0.00139875863120546
Tradition,0.001397285083670582
Art,0.001396606725187506
Matter,0.001391611011624825
Soul,0.001386048472987221
Satan,0.001385849467659701
War,0.001379927685629698
Verb,0.001379197249693379
Perception,0.001375328132259228
Sin,0.00137438161860046
Syncretism,0.001373432877250729
Earth,0.001372096056447475
Love,0.001362307434055371
Immortality,0.001344519242450739
Narrative,0.001329874481070937
Sun,0.001329092449365896
Greek mythology,0.001324311503442969
Intelligence,0.001321648698235986
Creation myth,0.001316545070275482
Saint,0.00131510263316838
Temperate climate,0.001313243795831292
Ontology,0.00131282713394998
Sovereignty,0.001308182083932453
Probability,0.001306696904148644
Divinity,0.001304848759927795
Plough,0.001301088247795138
Visual perception,0.001289359519482291
German language,0.001284416593721287
Causality,0.001282262551194246
Nobility,0.001281757753274591
Mercury (planet),0.001279731349808897
Apostrophe,0.001279217459330167
Faith,0.001278242127167909
Space,0.001270424961543385
Wool,0.001264599519480008
Hadith,0.001259287612270646
Minerva,0.001258759704764008
Aristocracy,0.001258447990433579
Education,0.001256580332714738
Life,0.001254204932029729
Myth,0.001250686160277589
History,0.001248443846246725
Wisdom,0.001243394770087061
Word order,0.001239657287367078
Transcendence (religion),0.001236960083564517
Organ (music),0.001229871426240647
Scabbard,0.001224780583056979
Memory,0.001222654132644422
Imagination,0.00122117523456755
Number,0.001219197359550929
Salt,0.001219182103680373
Sacred,0.00121895243552985
